Day;(All);;;;
;;;;;
Row Labels;Zon ;Consumptie ;Wind ;Nu;Fossiel
20/12/15 18:00;0;210,174;171,7075969;0;38,46640315
20/12/15 18:15;0;209,524;171,7075969;0;37,81640315
20/12/15 18:30;0;208,856;171,7075969;0;37,14840315
20/12/15 18:45;0;208,554;171,7075969;0;36,84640315
20/12/15 19:00;0;205,415;171,7075969;0;33,70740315
20/12/15 19:15;0;203,634;171,7075969;0;31,92640315
20/12/15 19:30;0;201,268;171,7075969;0;29,56040315
20/12/15 19:45;0;198,312;171,7075969;0;26,60440315
20/12/15 20:00;0;197,605;171,7075969;0;25,89740315
20/12/15 20:15;0;193,604;193,3561395;1;0,247860463
20/12/15 20:30;0;187,533;193,4449176;0;0
20/12/15 20:45;0;182,599;193,3335341;0;0
20/12/15 21:00;0;177,33;193,0206738;0;0
20/12/15 21:15;0;172,146;193,0758558;0;0
20/12/15 21:30;0;167,011;192,9328859;0;0
20/12/15 21:45;0;161,923;192,5905469;0;0
20/12/15 22:00;0;158,77;192,6452837;0;0
20/12/15 22:15;0;152,972;192,7516799;0;0
20/12/15 22:30;0;146,492;192,661958;0;0
20/12/15 22:45;0;138,767;192,9677972;0;0
20/12/15 23:00;0;130,794;193,0758558;0;0
20/12/15 23:15;0;122,449;192,9110662;0;0
20/12/15 23:30;0;115,17;193,1440159;0;0
20/12/15 23:45;1,48348062;106,418;193,1772647;0;0
21/12/15 00:00;0;109,018;193,0123702;0;0
21/12/15 00:15;0;100,555;192,9345484;0;0
21/12/15 00:30;0;94,983;192,6585832;0;0
21/12/15 00:45;0;89,512;192,1836702;0;0
21/12/15 01:00;0;81,426;192,1049905;0;0
21/12/15 01:15;0;78,765;192,0052441;0;0
21/12/15 01:30;0;76,304;191,7070431;0;0
21/12/15 01:45;0;74,104;191,8074136;0;0
21/12/15 02:00;0;70,959;191,7076672;0;0
21/12/15 02:15;0;68,54;191,7618469;0;0
21/12/15 02:30;0;66,764;192,2147116;0;0
21/12/15 02:45;0;65,631;192,4674026;0;0
21/12/15 03:00;0;64,353;192,5207966;0;0
21/12/15 03:15;0;63,762;192,9312235;0;0
21/12/15 03:30;0;63,064;193,1423535;0;0
21/12/15 03:45;0;62,588;193,1535315;0;0
21/12/15 04:00;0;61,558;193,5646134;0;0
21/12/15 04:15;0;61,516;193,5912124;0;0
21/12/15 04:30;0;61,893;193,4175862;0;0
21/12/15 04:45;0;62,244;193,6444105;0;0
21/12/15 05:00;0;61,903;193,6710096;0;0
21/12/15 05:15;0;63,011;193,1734602;0;0
21/12/15 05:30;0;64,503;193,0758558;0;0
21/12/15 05:45;0;67,29;192,778279;0;0
21/12/15 06:00;0;65,689;192,2816527;0;0
21/12/15 06:15;0;71,108;192,2479604;0;0
21/12/15 06:30;0;77,884;192,0185436;0;0
21/12/15 06:45;0;85,807;191,5874712;0;0
21/12/15 07:00;0;88,065;191,5547226;0;0
21/12/15 07:15;0;97,157;191,5114992;0;0
21/12/15 07:30;0;104,701;191,2719341;0;0
21/12/15 07:45;0;108,924;191,4267147;0;0
21/12/15 08:00;0;114,888;191,3834913;0;0
21/12/15 08:15;0;120,451;191,4678992;0;0
21/12/15 08:30;0;124,747;191,9503835;0;0
21/12/15 08:45;0;127,773;192,2346609;0;0
21/12/15 09:00;3,263657363;132,731;192,3181886;0;0
21/12/15 09:15;9,790972089;133,905;192,763317;0;0
21/12/15 09:30;13,94471782;134,714;193,0093582;0;0
21/12/15 09:45;19,8786403;134,935;193,0572097;0;0
21/12/15 10:00;26,99934728;135,227;193,5031031;0;0
21/12/15 10:15;37,97710386;135,621;193,4814913;0;0
21/12/15 10:30;45,69120308;135,841;193,258157;0;0
21/12/15 10:45;52,81191006;135,888;193,4382679;0;0
21/12/15 11:00;62,0094899;135,988;193,4149937;0;0
21/12/15 11:15;68,83350075;136,035;193,341193;0;0
21/12/15 11:30;76,54759997;135,86;193,6676847;0;0
21/12/15 11:45;73,87733485;135,461;193,7940302;0;0
21/12/15 12:00;73,28394261;135,773;193,7198375;0;0
21/12/15 12:15;70,02028524;135,275;194,0566958;0;0
21/12/15 12:30;69,72358912;133,671;194,1963408;0;0
21/12/15 12:45;59,93261703;132,24;194,1316965;0;0
21/12/15 13:00;64,38305889;132,616;194,4706435;0;0
21/12/15 13:15;54,5920868;132,127;194,4905928;0;0
21/12/15 13:30;54,5920868;131,827;194,3093937;0;0
21/12/15 13:45;54,5920868;131,611;194,5304914;0;0
21/12/15 14:00;44,80111471;130,805;194,5504407;0;0
21/12/15 14:15;38,86719223;130,804;194,3442688;0;0
21/12/15 14:30;35,90023099;131,157;194,540466;0;0
21/12/15 14:45;29,96630851;131,605;194,5354787;0;0
21/12/15 15:00;19,28524805;130,036;194,3293223;0;0
21/12/15 15:15;15,72489457;131,715;194,5304914;0;0
21/12/15 15:30;11,86784496;134,304;194,5304914;0;0
21/12/15 15:45;7,714099222;137,535;194,3293223;0;0
21/12/15 16:00;0,296696124;138,312;194,5304914;0;0
21/12/15 16:15;0;148,024;194,6435373;0;0
21/12/15 16:30;0;160,35;194,5568412;0;0
21/12/15 16:45;0;176,024;194,8712917;0;0
21/12/15 17:00;0;192,853;194,9843377;0;0
21/12/15 17:15;0;202,685;194,7295562;0;7,955443811
21/12/15 17:30;0;208,499;194,8779415;0;13,62105852
21/12/15 17:45;0;211,009;194,8264058;0;16,18259418
21/12/15 18:00;0;210,895;194,5717877;0;16,32321235
21/12/15 18:15;0;210,896;194,6136134;0;16,28238658
21/12/15 18:30;0;209,921;194,4540191;0;15,46698088
21/12/15 18:45;0;208,699;194,0934999;0;14,60550013
21/12/15 19:00;0;208,793;194,1348305;0;14,65816949
21/12/15 19:15;0;207,812;194,1763915;0;13,63560847
21/12/15 19:30;0;205,709;194,0171067;0;11,69189332
21/12/15 19:45;0;204,368;194,2595136;0;10,10848644
21/12/15 20:00;0;203,095;194,3010746;0;8,793925421
21/12/15 20:15;0;198,975;194,1084464;0;4,866553639
21/12/15 20:30;0;194,156;194,3160365;0;0
21/12/15 20:45;0;190,025;194,3226863;0;0
21/12/15 21:00;0;187,361;194,1300357;0;0
21/12/15 21:15;0;183,339;194,2495389;0;0
21/12/15 21:30;0;178,702;194,1664169;0;0
21/12/15 21:45;0;174,508;193,8825882;0;0
21/12/15 22:00;0;171,292;194,0018353;0;0
21/12/15 22:15;0;163,98;189,1192471;0;0
21/12/15 22:30;0;157,367;184,0477957;0;0
21/12/15 22:45;0;150,257;179,3557332;0;0
21/12/15 23:00;0;144,569;174,4731451;0;0
21/12/15 23:15;0;137,666;153,751254;0;0
21/12/15 23:30;0;129,486;133,3510134;0;0
21/12/15 23:45;1,780176743;119,493;112,7882852;0;4,924538095
Grand Total;2492,247441;38008,67213;51628,85014;1;1131,81505
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Row Labels;Wind ;Zon ;Fossiel;;
19/12/15;142,6047918;3,055408462;2,375756606;;
20/12/15;151,0465913;5,335686274;2,279288901;;
21/12/15;164,2995835;8,954041024;0,830628234;;
Grand Total;457,9509666;17,34513576;5,485673741;;
